a9d0be2 - Kai Saborowski, vor 4 Wochen : Fixed version in README.md.
ccb21ff - dependabot[bot], vor 2 Jahren, und 3 Monaten : Bump spring-boot-starter-parent from 2.5.3 to 2.5.4
f55a4eb - Kai Saborowski, vor 2 Jahren, und 4 Monaten : Github build workflow now using java 16.
8fc22dd - Kai Saborowski, vor 2 Jahren, und 4 Monaten : Bumped java version to 16, added spring-boot-starter-netty.
ae31e76 - Kai Saborowski, vor 2 Jahren, und 4 Monaten : Merge pull request #33 from ksbrwsk/dependabot/maven/org.springframework.boot-spring-boot-starter-parent-2.5.3
bac23b1 - dependabot[bot], vor 2 Jahren, und 4 Monaten : Bump spring-boot-starter-parent from 2.5.2 to 2.5.3
ac34356 - Kai Saborowski, vor 2 Jahren, und 4 Monaten : Merge pull request #31 from ksbrwsk/dependabot/maven/io.projectreactor-reactor-core-3.4.8
c267b15 - dependabot[bot], vor 2 Jahren, und 4 Monaten : Bump reactor-core from 3.4.7 to 3.4.8
9ffb2d4 - Kai Saborowski, vor 2 Jahren, und 5 Monaten : Merge pull request #30 from ksbrwsk/dependabot/maven/com.fasterxml.jackson.core-jackson-databind-2.12.4
dafc171 - dependabot[bot], vor 2 Jahren, und 5 Monaten : Bump jackson-databind from 2.12.3 to 2.12.4
27057b0 - Kai Saborowski, vor 2 Jahren, und 5 Monaten : Merge pull request #29 from ksbrwsk/dependabot/maven/com.google.apis-google-api-services-oauth2-v2-rev20200213-1.32.1
664d4d3 - dependabot[bot], vor 2 Jahren, und 5 Monaten : Bump google-api-services-oauth2
8b8b555 - Kai Saborowski, vor 2 Jahren, und 5 Monaten : Merge pull request #27 from ksbrwsk/dependabot/maven/com.google.http-client-google-http-client-jackson2-1.39.2-sp.1
a6f7ea8 - Kai Saborowski, vor 2 Jahren, und 5 Monaten : Merge pull request #28 from ksbrwsk/dependabot/maven/org.springframework.boot-spring-boot-starter-parent-2.5.2
4f514b5 - dependabot[bot], vor 2 Jahren, und 5 Monaten : Bump spring-boot-starter-parent from 2.5.1 to 2.5.2
68a595c - dependabot[bot], vor 2 Jahren, und 5 Monaten : Bump google-http-client-jackson2 from 1.38.0 to 1.39.2-sp.1
0f7b152 - Kai Saborowski, vor 2 Jahren, und 5 Monaten : Fixed missing jackson2 JsonFactory.
3e14e96 - Kai Saborowski, vor 2 Jahren, und 5 Monaten : Merge pull request #26 from ksbrwsk/dependabot/maven/io.projectreactor-reactor-core-3.4.7
fbaa42e - dependabot[bot], vor 2 Jahren, und 5 Monaten : Bump reactor-core from 3.4.6 to 3.4.7
ef07c05 - Kai Saborowski, vor 2 Jahren, und 5 Monaten : Merge pull request #25 from ksbrwsk/dependabot/maven/com.google.apis-google-api-services-oauth2-v2-rev20200213-1.31.5
7678bb0 - dependabot[bot], vor 2 Jahren, und 5 Monaten : Bump google-api-services-oauth2
17d2274 - Kai Saborowski, vor 2 Jahren, und 5 Monaten : Merge pull request #24 from ksbrwsk/dependabot/maven/org.springframework.boot-spring-boot-starter-parent-2.5.1
d6e1f6a - dependabot[bot], vor 2 Jahren, und 5 Monaten : Bump spring-boot-starter-parent from 2.5.0 to 2.5.1
64265cc - Kai Saborowski, vor 2 Jahren, und 6 Monaten : Merge pull request #23 from ksbrwsk/dependabot/maven/org.springframework.boot-spring-boot-starter-parent-2.5.0
6991490 - dependabot[bot], vor 2 Jahren, und 6 Monaten : Bump spring-boot-starter-parent from 2.4.5 to 2.5.0
72b58c4 - Kai Saborowski, vor 2 Jahren, und 6 Monaten : Merge pull request #22 from ksbrwsk/dependabot/maven/io.netty-netty-all-4.1.65.Final
074a0dd - dependabot[bot], vor 2 Jahren, und 6 Monaten : Bump netty-all from 4.1.63.Final to 4.1.65.Final
91b7207 - Kai Saborowski, vor 2 Jahren, und 6 Monaten : Bumped Java version to 11, netty-all 4.1.63.
95336c7 - Kai Saborowski, vor 2 Jahren, und 6 Monaten : Merge pull request #21 from ksbrwsk/dependabot/maven/io.netty-netty-all-4.1.64.Final
33b6677 - dependabot[bot], vor 2 Jahren, und 6 Monaten : Bump netty-all from 4.1.63.Final to 4.1.64.Final
e896a54 - Kai Saborowski, vor 2 Jahren, und 6 Monaten : Merge pull request #20 from ksbrwsk/dependabot/maven/io.projectreactor-reactor-core-3.4.6
a6c907e - dependabot[bot], vor 2 Jahren, und 6 Monaten : Bump reactor-core from 3.4.5 to 3.4.6
c710ee5 - Kai Saborowski, vor 2 Jahren, und 7 Monaten : Merge pull request #17 from ksbrwsk/dependabot/maven/com.fasterxml.jackson.core-jackson-databind-2.12.3
d266012 - Kai Saborowski, vor 2 Jahren, und 7 Monaten : Merge pull request #18 from ksbrwsk/dependabot/maven/com.google.guava-guava-30.1.1-jre
866660f - Kai Saborowski, vor 2 Jahren, und 7 Monaten : Merge pull request #19 from ksbrwsk/dependabot/add-v2-config-file
659aea5 - dependabot-preview[bot], vor 2 Jahren, und 7 Monaten : Upgrade to GitHub-native Dependabot
9a757fb - dependabot-preview[bot], vor 2 Jahren, und 7 Monaten : Bump guava from 29.0-jre to 30.1.1-jre
366c776 - dependabot-preview[bot], vor 2 Jahren, und 7 Monaten : Bump jackson-databind from 2.11.3 to 2.12.3
706d9e2 - Kai Saborowski, vor 2 Jahren, und 7 Monaten : Merge pull request #13 from ksbrwsk/dependabot/maven/raspberrypi-boot-gdata/com.google.guava-guava-29.0-jre
9e3322d - Kai Saborowski, vor 2 Jahren, und 7 Monaten : Merge pull request #14 from ksbrwsk/dependabot/maven/io.netty-netty-all-4.1.63.Final
f17f03e - Kai Saborowski, vor 2 Jahren, und 7 Monaten : Merge pull request #15 from ksbrwsk/dependabot/maven/io.projectreactor-reactor-core-3.4.5
58e48f1 - Kai Saborowski, vor 2 Jahren, und 7 Monaten : Merge pull request #16 from ksbrwsk/dependabot/maven/org.springframework.boot-spring-boot-starter-parent-2.4.5
a4833e4 - dependabot-preview[bot], vor 2 Jahren, und 7 Monaten : Bump spring-boot-starter-parent from 2.4.3 to 2.4.5
e24effb - dependabot-preview[bot], vor 2 Jahren, und 7 Monaten : Bump reactor-core from 3.4.4 to 3.4.5
0c14e55 - dependabot-preview[bot], vor 2 Jahren, und 8 Monaten : Bump netty-all from 4.1.60.Final to 4.1.63.Final
d1c418a - dependabot[bot], vor 2 Jahren, und 8 Monaten : Bump guava from 25.1-jre to 29.0-jre in /raspberrypi-boot-gdata
09385f1 - Kai Saborowski, vor 2 Jahren, und 8 Monaten : Merge pull request #10 from ksbrwsk/dependabot/maven/io.projectreactor-reactor-core-3.4.4
f29cacf - dependabot-preview[bot], vor 2 Jahren, und 8 Monaten : Bump reactor-core from 3.4.3 to 3.4.4
0a8ae05 - Kai Saborowski, vor 2 Jahren, und 8 Monaten : Merge pull request #9 from ksbrwsk/dependabot/maven/io.netty-netty-all-4.1.60.Final
ffd9c2e - dependabot-preview[bot], vor 2 Jahren, und 8 Monaten : Bump netty-all from 4.1.59.Final to 4.1.60.Final
344334c - Kai Saborowski, vor 2 Jahren, und 9 Monaten : Merge pull request #8 from ksbrwsk/dependabot/maven/com.pi4j-pi4j-core-1.4
08ea2ec - dependabot-preview[bot], vor 2 Jahren, und 9 Monaten : Bump pi4j-core from 1.3 to 1.4
ef15bd3 - Kai Saborowski, vor 2 Jahren, und 9 Monaten : Fixes Paho MQTT Connection issues.
4b39a53 - Kai Saborowski, vor 2 Jahren, und 9 Monaten : Merge pull request #6 from ksbrwsk/dependabot/maven/org.springframework.boot-spring-boot-starter-parent-2.4.3
919cbab - Kai Saborowski, vor 2 Jahren, und 9 Monaten : Merge pull request #2 from ksbrwsk/dependabot/maven/io.projectreactor-reactor-core-3.4.3
ec29f84 - Kai Saborowski, vor 2 Jahren, und 9 Monaten : Merge pull request #3 from ksbrwsk/dependabot/maven/com.pi4j-pi4j-core-1.3
f2defa1 - Kai Saborowski, vor 2 Jahren, und 9 Monaten : Merge pull request #4 from ksbrwsk/dependabot/maven/com.google.apis-google-api-services-oauth2-v2-rev20200213-1.31.0
353bc77 - Kai Saborowski, vor 2 Jahren, und 9 Monaten : Merge pull request #5 from ksbrwsk/dependabot/maven/io.netty-netty-all-4.1.59.Final
af9b1d0 - Kai Saborowski, vor 2 Jahren, und 9 Monaten : Merge pull request #7 from ksbrwsk/dependabot/maven/org.eclipse.paho-org.eclipse.paho.client.mqttv3-1.2.5
4eb0b9d - dependabot-preview[bot], vor 2 Jahren, und 9 Monaten : Bump org.eclipse.paho.client.mqttv3 from 1.2.2 to 1.2.5
76cc362 - dependabot-preview[bot], vor 2 Jahren, und 9 Monaten : Bump spring-boot-starter-parent from 2.2.6.RELEASE to 2.4.3
11cd785 - dependabot-preview[bot], vor 2 Jahren, und 9 Monaten : Bump netty-all from 4.1.48.Final to 4.1.59.Final
dcd3fcf - dependabot-preview[bot], vor 2 Jahren, und 9 Monaten : Bump google-api-services-oauth2
f9e4498 - dependabot-preview[bot], vor 2 Jahren, und 9 Monaten : Bump pi4j-core from 1.2 to 1.3
102faee - dependabot-preview[bot], vor 2 Jahren, und 9 Monaten : Bump reactor-core from 3.3.11.RELEASE to 3.4.3
fa852ab - Kai Saborowski, vor 2 Jahren, und 10 Monaten : added CI build.
71bba6c - Kai Saborowski, vor 2 Jahren, und 10 Monaten : Create maven.yml
b816d86 - Kai Saborowski, vor 2 Jahren, und 10 Monaten : Fixes Dependabot alerts.
8e22291 - Kai Saborowski, vor 3 Jahren, und 8 Monaten : Update to Spring Boot 2.2.6.
8970249 - Kai Saborowski, vor 3 Jahren, und 8 Monaten : Update to Spring Boot 2.2.5.
715144f - Kai Saborowski, vor 7 Jahren : Merge branch 'master' of https://github.com/ksbrwsk/raspberrypi-boot
79aed82 - Kai Saborowski, vor 7 Jahren : changed version in pom files to 1.0.1-SNAPSHOT
8294ba4 - Kai Saborowski, vor 7 Jahren : Preparing release 1.0.0
ffb938e - Kai Saborowski, vor 7 Jahren : Update README.md
f43e3f9 - Kai Saborowski, vor 7 Jahren : changed to maven, update to latest dependencies
1e85e9b - Kai Saborowski, vor 9 Jahren : removed unused methods
4bbd612 - Kai Saborowski, vor 9 Jahren : update to Springboot 1.2.2
2c70ceb - Kai Saborowski, vor 9 Jahren : Fix profile setting for MockReader
d8ead23 - Kai Saborowski, vor 9 Jahren : now using annotation based Spring-Integration configuration, code cleanup
f181bcb - Kai Saborowski, vor 9 Jahren : added Subproject raspberrypi-boot-gdata, polishing
b22cf84 - Kai Saborowski, vor 9 Jahren : gradle build reworked, javascript deps updated, update to Springboot 1.2.1
4c8bcf9 - Kai Saborowski, vor 9 Jahren : Fixed typo in README.md
fdb64ef - Kai Saborowski, vor 9 Jahren : removed user details
89d3c1c - Kai Saborowski, vor 9 Jahren : Merge remote-tracking branch 'origin/master'
5b48cae - Kai Saborowski, vor 9 Jahren : removes userdata
ff9a406 - Kai Saborowski, vor 9 Jahren : Update README.md
c4e61a4 - Kai Saborowski, vor 9 Jahren : initial commit
